created_at,current_issue,api_rows,new_rows,gap_count,duplicate_count,stale_flag,drift_seconds,health,detail_json
2026-09-25T17:48:23+07:00,202609252137,100,1,0,0,0,0.0,OK,"{""stored_recent"": 150, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:48:53+07:00,202609252138,100,1,0,0,0,0.0,OK,"{""stored_recent"": 151, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:49:23+07:00,202609252139,100,1,0,0,0,0.0,OK,"{""stored_recent"": 152, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:49:53+07:00,202609252140,100,1,0,0,0,0.0,OK,"{""stored_recent"": 153, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:50:23+07:00,202609252141,100,1,0,0,0,0.0,OK,"{""stored_recent"": 154, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:50:53+07:00,202609252142,100,1,0,0,0,0.0,OK,"{""stored_recent"": 155, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:51:23+07:00,202609252143,100,1,0,0,0,0.0,OK,"{""stored_recent"": 156, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:51:53+07:00,202609252144,100,1,0,0,0,0.0,OK,"{""stored_recent"": 157, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:52:23+07:00,202609252145,100,1,0,0,0,0.0,OK,"{""stored_recent"": 158, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:52:53+07:00,202609252146,100,1,0,0,0,0.0,OK,"{""stored_recent"": 159, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:53:23+07:00,202609252147,100,1,0,0,0,0.0,OK,"{""stored_recent"": 160, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:53:53+07:00,202609252148,100,1,0,0,0,0.0,OK,"{""stored_recent"": 161, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:54:23+07:00,202609252149,100,1,0,0,0,0.0,OK,"{""stored_recent"": 162, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:54:53+07:00,202609252150,100,1,0,0,0,0.0,OK,"{""stored_recent"": 163, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:55:23+07:00,202609252151,100,1,0,0,0,0.0,OK,"{""stored_recent"": 164, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:55:53+07:00,202609252152,100,1,0,0,0,0.0,OK,"{""stored_recent"": 165, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:56:23+07:00,202609252153,100,1,0,0,0,0.0,OK,"{""stored_recent"": 166, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:56:53+07:00,202609252154,100,1,0,0,0,0.0,OK,"{""stored_recent"": 167, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:57:23+07:00,202609252155,100,1,0,0,0,0.0,OK,"{""stored_recent"": 168, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:57:53+07:00,202609252156,100,1,0,0,0,0.0,OK,"{""stored_recent"": 169, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:58:23+07:00,202609252157,100,1,0,0,0,0.0,OK,"{""stored_recent"": 170, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T19:34:54+07:00,202609252350,100,100,1,0,0,0.0,WARN,"{""stored_recent"": 270, ""gaps"": 1, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T19:35:23+07:00,202609252351,100,1,1,0,0,0.0,WARN,"{""stored_recent"": 271, ""gaps"": 1, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T19:35:53+07:00,202609252352,100,1,1,0,0,0.0,WARN,"{""stored_recent"": 272, ""gaps"": 1, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T19:36:23+07:00,202609252353,100,1,1,0,0,0.0,WARN,"{""stored_recent"": 273, ""gaps"": 1, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T19:38:53+07:00,202609252358,100,5,1,0,0,0.0,WARN,"{""stored_recent"": 278, ""gaps"": 1, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T19:39:23+07:00,202609252359,100,1,1,0,0,0.0,WARN,"{""stored_recent"": 279, ""gaps"": 1, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T19:39:53+07:00,202609252360,100,1,1,0,0,0.0,WARN,"{""stored_recent"": 280, ""gaps"": 1, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T19:40:23+07:00,202609252361,100,1,1,0,0,0.0,WARN,"{""stored_recent"": 281, ""gaps"": 1, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T19:40:53+07:00,202609252362,100,1,1,0,0,0.0,WARN,"{""stored_recent"": 282, ""gaps"": 1, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T19:41:23+07:00,202609252363,100,1,1,0,0,0.0,WARN,"{""stored_recent"": 283, ""gaps"": 1, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T19:41:53+07:00,202609252364,100,1,1,0,0,0.0,WARN,"{""stored_recent"": 284, ""gaps"": 1, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T19:42:23+07:00,202609252365,100,1,1,0,0,0.0,WARN,"{""stored_recent"": 285, ""gaps"": 1, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T19:42:53+07:00,202609252366,100,1,1,0,0,0.0,WARN,"{""stored_recent"": 286, ""gaps"": 1, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T19:43:23+07:00,202609252367,100,1,1,0,0,0.0,WARN,"{""stored_recent"": 287, ""gaps"": 1, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T19:43:53+07:00,202609252368,100,1,1,0,0,0.0,WARN,"{""stored_recent"": 288, ""gaps"": 1, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T19:44:23+07:00,202609252369,100,1,1,0,0,0.0,WARN,"{""stored_recent"": 289, ""gaps"": 1, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T19:44:53+07:00,202609252370,100,1,1,0,0,0.0,WARN,"{""stored_recent"": 290, ""gaps"": 1, ""stale"": 0, ""drift_seconds"": 0}"
